movieCd,movieNm,movieNmEn,prdtYear,openDt,typeNm,prdtStatNm,nationAlt,genreAlt,repNationNm,repGenreNm
20251605,아내의 유혹 - 데릴사위,,2024,20250114,장편,개봉,일본,멜로/로맨스,일본,멜로/로맨스
20251589,장흥1950: 마을로 간 전쟁,,2025,20250402,기타,개봉예정,한국,다큐멘터리,한국,다큐멘터리
20240853,새엄마와 짜릿한 온천 여행,EROKI-06,2023,20250114,장편,개봉,일본,"멜로/로맨스,드라마",일본,멜로/로맨스
20251550,"불륜, 변태 그리고 이상한 조문",,2024,20250114,장편,개봉,일본,멜로/로맨스,일본,멜로/로맨스
20242404,캡틴 아메리카: 브레이브 뉴 월드,Captain America: Brave New World,2024,20250212,장편,개봉,미국,"액션,어드벤처,SF",미국,액션
20241111,정돌이,Poliboy,2024,20250212,장편,개봉,한국,다큐멘터리,한국,다큐멘터리
20251800,브루탈리스트,The Brutalist,2024,20250212,장편,개봉,미국,드라마,미국,드라마
20240274,유난히 맛있던 동네 유부녀들,,2024,20250108,장편,개봉,한국,"드라마,성인물(에로)",한국,드라마
20243079,맛있는 가족,,2024,20250108,장편,개봉,한국,멜로/로맨스,한국,멜로/로맨스
20245143,홈쇼핑 AS,,2024,20250107,장편,개봉,한국,성인물(에로),한국,성인물(에로)
20245264,쇼호스트,,2024,20250106,장편,개봉,한국,성인물(에로),한국,성인물(에로)
20245123,극락비행,,2024,20250106,장편,개봉,한국,성인물(에로),한국,성인물(에로)
20246716,이모부가 탐내는 H컵 거유,,2024,20250103,장편,개봉,한국,성인물(에로),한국,성인물(에로)
20247852,여자는 대물을 좋아해,,2024,20250103,장편,개봉,한국,멜로/로맨스,한국,멜로/로맨스
20249863,2대1 여대생 노래방,,2024,20250102,장편,개봉,한국,성인물(에로),한국,성인물(에로)
20249795,헤픈 엄마-새엄마가 뒷문 열어준 날 무삭제판,JYUKUBONO MUSUKO-16,2022,20250101,장편,개봉,일본,"성인물(에로),드라마,멜로/로맨스",일본,성인물(에로)
20249728,잘 주는 새엄마-물 빼줄까?,HAKUJYUUNO GIBO-01,2023,20250101,장편,개봉,일본,"성인물(에로),드라마,멜로/로맨스",일본,성인물(에로)
